,Sample_ID,Species,Sample_type,Location,Li_6,Li_7,Be,B,Mg,Al,Si,P,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Er,Yb,Lu,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Ca,Pr
47,OCT1,Octopus,tentacle,JF,4.2,109,0.4,4031.7,1022382.9,13954.8,18.3,1242.9,1.5,206.1,NA,150.6,820.6,18373.3,298.5,1776.1,13865.8,13342,15868.2,598.7,1234,5511.4,828.8,0.1,0.4,11,6.1,83.1,0,4.8,5.3,0.2,5,60.4,0,15.1,0.6,0.3,0.1,0,1.3,0.1,0.4,0,17.9,0.5,17.4,0.1,0,40,317.8,62378.2
48,OCT1,Octopus,GI,JF,3.8,96.3,0.1,1664.8,845338.2,3087.6,5.1,1633.6,3.2,7.5,NA,45.2,2227.5,6556.1,53.5,44.4,8329.5,67988.5,14512.1,484.6,1725.2,4779.5,46.3,0.1,0.3,6,33.4,262.8,NA,NA,1.7,0.1,5.8,22.7,0,2.1,0.1,0.1,0,0,0.6,0,0.2,0.1,21.2,0.5,7.1,0,0,3.3,312.2,8447
49,OCT1,Octopus,GI,JF,3.7,99.5,0.1,1618.6,871794.2,3148.4,5.3,1677,2,10.2,NA,48.3,2265.8,7719.5,53.2,48.9,8640.9,69411.5,14677.7,525,1845.4,5243.5,41.4,0.1,0.4,5.5,34.7,268.1,0,2.1,1.9,0.6,5.9,23,0,2.3,0.1,0.1,0,0,0.7,0,0.2,0.1,21.4,0.6,7.1,0.1,0,3.5,314.2,7468.9
50,OCT2,Octopus,GI,JF,7.8,202.3,2.5,1849,1002975.2,89072.9,81.4,1899.7,2.8,1100.4,NA,389.9,3270.3,122345.5,96.2,367.6,5257.2,18010.8,19267.2,520.3,940.1,34398.9,97.2,0.3,1.4,41.1,17.7,121.6,0.1,9.5,8.1,0.9,3.1,286.8,0,109,5.1,3.7,0.5,0,0.4,0,0.1,0.1,55.3,0.4,75.1,0.3,0,8.3,3572.8,500788.4
51,OCT2,Octopus,GI,JF,3,79.4,0.1,960,640707.3,7431.5,10.2,1983.8,0.9,21.1,NA,112,1588.6,10593.2,34.5,71.1,2652.5,80474.3,7897,610.8,2204.3,4301.2,26.2,0.1,0.2,9,2.7,32.3,NA,4.2,5.2,0,7.1,29.5,0,5.7,0.3,0.2,0,0,NA,0,0.1,NA,38.5,0.7,491.1,0.1,0,0.6,277.8,21917.3
52,OCT3,Octopus,GI,JF,3.7,95.8,0.4,1814.2,709157,18917.1,32.1,1855.7,1.7,30.7,NA,84.9,2439,31520.7,57.1,214.4,6078.8,60835,8486.9,581.2,1203.1,7105,73.3,0.1,0.4,9.1,10.5,82.8,0.1,2.6,1.4,0.6,3.8,1362.6,0,15.9,0.8,0.7,0.1,0,NA,0,0.2,NA,67.7,0.3,25.6,0.1,0,10.6,656.9,69932.4
53,OCT1,Octopus,Liver,JF,3.3,86.5,0.2,2593.7,872732.5,2116.2,2.5,2090,NA,11.1,NA,64,1736.5,36755.7,13849.3,290.5,1815795,399113.9,18426.7,5595.3,1655.2,7594.8,633.6,0.7,33.7,112.4,17720.2,133278.8,0.3,7,7.5,0.9,3.7,32.1,0,5.9,0.5,0.4,0,0.1,2,0.1,0.2,0.1,41.5,0.8,49.3,0.1,0,100.4,278.5,22488
54,OCT2,Octopus,Liver,JF,2.9,79.5,0.2,1131.9,720341.3,9906.8,13.2,2121.4,3,138.9,NA,183.2,1746.6,124660.7,5624.5,367.1,263756.1,248171.2,7784.1,4514.6,2302.4,8501.6,496.6,0.1,5.5,30.4,6907.5,76589.5,0.3,18.2,8.4,1.7,6.2,134.9,0,12.5,0.6,0.3,0.1,0.1,NA,0,0.1,0.4,330.7,0.5,129.7,0.4,0,70.7,311,40077.4
55,OCT3,Octopus,Liver,JF,2.3,63,0.4,2545.6,564219,4218.7,6.7,1904.9,2.9,154.7,NA,120.9,1301.5,123429.2,4979.4,201.9,515588.5,272255.8,8066.5,1786.4,1724.3,6340,898.9,0.1,10.2,36.3,9189.7,55807.2,0.2,13.5,9.3,1.5,1.6,55.6,0,10.9,0.5,0.4,0.1,0,NA,0,0.1,0.3,101.3,0.4,43.8,0.2,0,152.7,781.4,45850.9
56,OCT1,Octopus,Gills,JF,5.7,146,0.1,2550.6,914389.6,2022.7,3,2095.2,NA,17.5,NA,81.5,1629.2,11844.3,134.2,258.5,30489.2,19845.7,35114.3,846.8,1054.8,5141.4,80.4,0.2,0.8,9.4,49.5,253.1,0,6.4,2.2,0.3,4,20.4,0,2.6,0.1,0.1,0,0.1,1.3,0.1,0.2,0.4,18.3,0.4,37,0.1,0,5.1,296.7,7669.3
57,OCT2,Octopus,Gills,JF,2.8,71.3,0.2,1849.2,567915.1,6796.1,11.5,2452.2,2.7,24.3,NA,96.7,2190.4,25645.4,106.4,265.2,16318.7,18437.4,28336.8,1260.1,1563.2,2866.3,101.3,0,0.4,6.5,4.4,87.4,0.1,NA,4.3,0.4,5.9,40.2,0,8.5,0.3,0.3,0,0,NA,0,0.1,0.3,60,0.7,28.3,0.1,0,2.8,193.9,37381
58,OCT3,Octopus,Gills,JF,2.8,73,0.1,2377.3,590894,5023.7,27.9,2696.3,1.9,17.8,NA,71.7,2319.5,32025.8,133.4,450.3,23278.7,24585.4,20305.2,838,1663,2734.4,66.7,0.1,0.6,8.1,10.1,44.7,0,NA,1.7,0.7,5.3,31.2,0,4.8,0.2,0.2,0,0,NA,NA,0.2,0.2,39.7,0.4,51.6,0.1,0,3.8,175.7,21930.1
59,OCT1,Octopus,Kidney,JF,4.5,124.4,0.3,2144.3,895696.3,4008.7,7.8,2385.5,NA,63.6,NA,127.7,4405,37348.7,661.2,1332.4,22079,38776.7,47612.5,9328.1,1435.7,4010.9,371.4,0,0.5,12.9,8.9,12725.6,0.1,7.1,6.1,0.4,9,33.9,0,3.6,0.2,0.1,0,0.1,NA,0.1,0.2,0.4,79,1.7,54.9,0.2,0,2.9,249,16440.8
60,OCT2,Octopus,Kidney,JF,3,77,0.4,1743,589581.6,12277.4,29.1,2029.2,2.3,90.7,NA,204.7,3848.7,36171.9,389.7,543.9,9259,22910.1,31820.6,3595.6,1450.3,4401.9,144.4,0.1,0.3,11.2,3.2,1521.5,0,5.9,7.2,0.8,6.7,63.4,0,15.4,0.5,0.4,0.1,0,NA,0,0.1,0.1,119.7,1.4,53.8,0.3,0,1.7,273.7,48942.7
61,OCT3,Octopus,Kidney,JF,3.2,85.6,8.9,15492.1,677723.8,15840.3,23.8,1683.3,2.5,118.5,6278.1,678.9,3611.7,76756,7449.5,32397.7,33256.3,63248.9,11346.6,2024.6,1251.4,4643.8,16349.6,0.1,0.8,68.1,10.8,1209.7,0.1,6.4,25.5,1.1,4.9,47.7,0.1,402.3,15.4,8.4,1,0.1,NA,0,0.1,0.1,62.1,0.9,79.1,0.2,NA,1517.6,265.1,1592480.7
62,SC1A,Cucumber,Whole,JF,10.4,263.9,4.9,5685.3,1484479.8,179280.6,89.5,266.7,49.6,18692,NA,614.5,6622.4,264828.9,174.6,619.3,779.9,4616.4,1594.4,564.1,490.2,24175.8,106.2,0,0.9,28.9,3.3,85,0.4,26.8,12.5,1.9,2.6,334.6,0.1,249.9,11.6,9.8,1.3,0,10.4,0.1,0.1,0.6,1.7,0.3,499.3,0.3,1.8,25.5,3335.4,1070424.3
63,SC1B,Cucumber,Whole,JF,10.3,264.2,4.6,5888.4,1465307,180478.1,92.3,265.8,47.5,19090.4,NA,620.9,6881.1,270601.9,175.4,648.2,777.5,4620.7,1588,637.8,511.3,24565.3,107.3,0.1,1,34.8,3.3,88.6,0.4,24.6,12.1,2,2.7,341.9,0.1,251.5,12.5,10,1.3,0,7.6,0.1,0.3,0.4,1.4,0.3,518.9,0.2,1.7,26.2,3378.9,1081621.5
64,SC2A,Cucumber,Whole,JF,81.3,2060.8,79.5,8923.2,2579725.2,2061708.1,103.1,426.5,1056.4,369932.1,13164,8125.4,67387.4,3760309.7,2092.4,6698.5,3677.1,10707.6,2456.5,432.2,676.9,96325.5,267.4,0.5,3.3,271.7,11.1,121.8,4.9,184.8,20.3,7.9,11.4,3513.9,1.8,4828.7,225.5,172.9,23.8,0.3,8.5,0.1,0.3,0.7,5.7,1.8,1916.3,1.7,140.6,109.2,11736,22504370.1
65,SC2B,Cucumber,Whole,JF,81.4,2142.5,79.7,9346.8,2578658.7,2153247.1,98.5,426.4,1098.1,373666,12781.9,7911.4,67115.7,3844749.2,2097.6,6787.2,3626.9,10735.6,2448.5,362.6,706.2,99905.3,269.4,0.6,3.5,288.5,11.4,123.5,5.1,188.4,20.7,7.2,11.6,3664.7,1.9,4926,228.3,181.8,24.2,0.3,5.6,0.1,0.2,0.8,5.6,1.7,1965.5,1.9,141.3,111.6,12241.2,23532878.4
